Date	SLLT	STTB	TSLD	TSLX	TSLN
8/02/1991	90	120	14.06820636	14.07939269	14.05707466
8/02/1991	120	150	14.90513987	14.9118203	14.89841357
8/02/1991	150	180	15.91102966	15.91148986	15.91060384
8/02/1991	180	210	21.9409475	21.94962969	21.93227761
9/02/1991	0	0	14.09005542	6.88789812	25.30068965
9/02/1991	0	5	14.67895022	19.93684101	10.12782885
9/02/1991	5	15	15.36155489	16.01800782	14.8289529
9/02/1991	15	30	15.06494801	15.13887482	15.00576256
9/02/1991	30	45	14.15176107	14.18854136	14.10642839
9/02/1991	45	60	13.62788406	13.66549982	13.58976708
9/02/1991	60	90	13.56753856	13.58689735	13.54852385
9/02/1991	90	120	14.09100335	14.10221639	14.07986354
9/02/1991	120	150	14.91866169	14.92518782	14.91210119
9/02/1991	150	180	15.91205243	15.91262568	15.9115114
9/02/1991	180	210	21.92326578	21.93190924	21.91463466
10/02/1991	0	0	15.05787887	6.207457426	27.47656948
10/02/1991	0	5	14.91035669	21.25537019	9.374457989
10/02/1991	5	15	14.91007639	15.51569648	14.21723018
10/02/1991	15	30	14.89628829	15.0041062	14.83243131
10/02/1991	30	45	14.21245852	14.22795035	14.18988718
10/02/1991	45	60	13.70304302	13.73759739	13.66708189
10/02/1991	60	90	13.60764829	13.62779667	13.58773265
10/02/1991	90	120	14.11388686	14.12516962	14.10268908
10/02/1991	120	150	14.93187361	14.93826253	14.92546184
10/02/1991	150	180	15.91330403	15.91398625	15.91265204
10/02/1991	180	210	21.90566333	21.91426795	21.89707109
11/02/1991	0	0	15.96950225	7.161899728	28.49798245
11/02/1991	0	5	15.64535185	22.113088	10.02041603
11/02/1991	5	15	15.06993609	15.79940085	14.34070899
11/02/1991	15	30	14.78650774	14.84189691	14.7440536
11/02/1991	30	45	14.23874873	14.2467301	14.22854179
11/02/1991	45	60	13.77067173	13.80079658	13.73901164
11/02/1991	60	90	13.64913597	13.66970205	13.62866212
11/02/1991	90	120	14.13695893	14.1483579	14.12564697
11/02/1991	120	150	14.94481615	14.95109017	14.93853064
11/02/1991	150	180	15.91477479	15.91556085	15.91401718
11/02/1991	180	210	21.88814036	21.89670603	21.8795871
12/02/1991	0	0	13.97226047	5.838689722	25.64934907
12/02/1991	0	5	14.48584336	20.22245446	9.389229051
12/02/1991	5	15	15.02785517	15.69050556	14.41730745
12/02/1991	15	30	14.76212627	14.80353709	14.7288423
12/02/1991	30	45	14.25730496	14.26498136	14.24721268
12/02/1991	45	60	13.82961292	13.85601407	13.80202225
12/02/1991	60	90	13.69123281	13.7118687	13.67058056
12/02/1991	90	120	14.16029215	14.17182403	14.14884135
12/02/1991	120	150	14.95754373	14.96373229	14.95135373
12/02/1991	150	180	15.91645369	15.9173382	15.91559611
12/02/1991	180	210	21.87069707	21.8792237	21.86218287
13/02/1991	0	0	16.38466547	7.045024927	28.28590749
13/02/1991	0	5	15.70065589	22.1916011	10.07243142
13/02/1991	5	15	14.90636094	15.74698028	14.14367872
13/02/1991	15	30	14.68975752	14.74582816	14.64602827
